"Community safety and social inclusion > Welsh Index of Multiple Deprivation > Archive > WIMD 2011 > Welsh Index of Multiple Deprivation 2011 by rank and local super output area"
""
"","","WIMD (1)","Income (2)","Employment (3)","Health (4)","Education (5)","Access to Services (6)","Community Safety (7)","Physical Environment (8)","Housing (9)"
"Isle of Anglesey ","",".",".",".",".",".",".",".",".","."
"","W01000659: Glanymor 1 ",156,270,183,243,73,1548,264,14,864
"","W01000660: Glanymor 2 ",192,209,73,528,495,1274,510,21,659
"","W01000661: Glanymor 3 ",131,193,153,107,150,927,220,116,669
"","W01000662: Glyn (Carmarthenshire) ",815,1052,861,364,990,300,1374,1694,775
"","W01000663: Gorslas 1 ",1091,1133,1022,1001,1079,351,1732,560,1552
"","W01000664: Gorslas 2 ",927,1160,655,1329,1060,313,1306,381,1170
"","W01000665: Hendy 1 ",1675,1659,1327,1520,1691,489,1706,1516,1482
"","W01000666: Hendy 2 ",1242,1067,1022,904,1048,1130,1329,867,1352
"","W01000667: Hengoed (Carmarthenshire) 1 ",1131,1161,782,1069,1355,713,1428,464,1157
"","W01000668: Hengoed (Carmarthenshire) 2 ",256,275,183,163,571,337,791,1458,1388
"","W01000669: Hengoed (Carmarthenshire) 3 ",1428,1350,1111,1109,1480,761,1359,678,1643
"","W01000670: Kidwelly 1 ",531,592,400,426,381,1132,1097,1307,799
"","W01000671: Kidwelly 2 ",928,938,708,830,1184,368,1516,1304,1143
"","W01000672: Laugharne Township 1 ",824,952,1022,1331,761,122,1418,879,342
"","W01000673: Laugharne Township 2 ",1175,1207,1221,1429,829,317,1293,1028,815
"","W01000674: Llanboidy ",997,1120,1447,1543,1398,6,1872,1581,671
"","W01000675: Llanddarog ",1184,1398,1221,1018,1504,96,1792,1147,1197
"","W01000676: Llandeilo 1 ",1307,1439,1111,1368,1731,123,1755,1588,1065
"","W01000677: Llandeilo 2 ",996,744,782,689,1265,1792,1190,1183,487
"","W01000678: Llandovery 1 ",849,961,1111,879,1047,77,1698,606,1101
"","W01000679: Llandovery 2 ",1391,1192,1447,1019,1135,1521,1396,332,776
"","W01000680: Llandybie 1 ",1488,1529,1447,1135,1732,243,1830,743,1775
"","W01000681: Llandybie 2 ",769,705,522,731,786,797,1179,1127,1403
"","W01000682: Llanegwad 1 ",1410,1397,1447,1716,1778,94,1885,967,1423
"","W01000683: Llanegwad 2 ",879,896,1111,1610,1278,27,1739,1305,496
"","W01000684: Llanfihangel Aberbythych ",1111,1206,1022,1409,1507,91,1863,1230,1036
"","W01000685: Llanfihangel-ar-Arth 1 ",784,853,1022,1137,632,149,1505,545,835
"","W01000686: Llanfihangel-ar-Arth 2 ",1204,1505,1221,1162,1012,134,1864,1587,918
"","W01000687: Llangadog ",999,1288,1447,1206,1269,28,1708,745,705
"","W01000688: Llangeler 1 ",656,590,861,915,834,167,1618,327,650
"","W01000689: Llangeler 2 ",1006,1096,1221,1303,1190,72,1558,1559,529
"","W01000690: Llangennech 1 ",1031,1181,941,627,1097,349,1278,1283,1620
"","W01000691: Llangennech 2 ",948,849,782,988,1008,316,1393,1749,1709
"","W01000692: Llangennech 3 ",1236,1266,1022,799,1194,898,1130,856,1072
"","W01000693: Llangunnor 1 ",1087,1086,941,834,947,556,1327,1253,1513
"","W01000694: Llangunnor 2 ",1257,1476,1221,1342,1295,204,1403,633,983
"","W01000695: Llangyndeyrn 1 ",504,560,456,548,473,289,1141,1437,798
"","W01000696: Llangyndeyrn 2 ",813,858,782,910,957,146,1612,1343,1104
"","W01000697: Llannon 1 ",554,809,456,480,349,1026,1118,515,447
"","W01000698: Llannon 2 ",751,747,655,803,635,559,1201,956,911
"","W01000699: Llannon 3 ",1228,1521,1327,899,1455,160,1597,704,1167
"","W01000700: Llansteffan ",1211,1500,1327,1153,1386,81,1796,1022,1077
"","W01000701: Llanybydder 1 ",1099,1178,1447,1404,1233,71,1873,1240,514
"","W01000702: Llanybydder 2 ",708,986,1221,562,672,227,1650,237,253
"","W01000703: Lliedi 1 ",635,664,456,560,650,1717,293,692,1094
"","W01000704: Lliedi 2 ",1277,1248,861,813,1468,736,1555,1276,1569
"","W01000705: Lliedi 3 ",273,311,295,50,569,885,1077,526,1190
"","W01000706: Llwynhendy 1 ",686,681,522,622,690,1076,929,490,1259
"","W01000707: Llwynhendy 2 ",259,196,223,322,247,1490,785,1206,367
"","W01000708: Llwynhendy 3 ",171,153,183,120,182,1719,309,533,695
"","W01000709: Manordeilo and Salem ",1019,1230,1022,1751,1296,21,1861,1476,1275
"","W01000710: Pembrey 1 ",1464,1503,1111,927,1477,593,1643,1287,1641
"","W01000711: Pembrey 2 ",422,378,253,443,500,753,987,1507,836
"","W01000712: Penygroes (Carmarthenshire) 1 ",1110,1097,861,1123,1139,504,1857,754,1080
"","W01000713: Penygroes (Carmarthenshire) 2 ",994,1114,585,744,1290,656,1685,1058,1258
"","W01000714: Pontamman 1 ",677,756,585,516,530,1447,996,296,1048
"","W01000715: Pontamman 2 ",1409,1358,1111,1108,1312,605,1508,1140,1563
"","W01000716: Pontyberem 1 ",1300,1507,1111,1036,1150,303,1454,1625,1195
"","W01000717: Pontyberem 2 ",760,786,655,984,443,365,1542,1770,1208
"","W01000718: Quarter Bach 1 ",651,662,655,435,772,751,720,699,696
"","W01000719: Quarter Bach 2 ",689,943,655,407,857,353,1071,708,1083
"","W01000720: St. Clears 1 ",1193,1196,1111,739,1053,572,1586,1454,949
"","W01000721: St. Clears 2 ",1235,1157,1447,1146,983,253,1725,1409,909
"","W01000722: St. Ishmael 1 ",1486,1575,1673,1506,1547,111,1896,1391,958
"","W01000723: St. Ishmael 2 ",1119,1223,1022,1057,1082,252,1591,1094,1294
"","W01000724: Saron 1 ",541,788,708,193,639,215,1295,697,1474
"","W01000725: Saron 2 ",733,1039,708,278,982,480,1512,617,989
"","W01000726: Swiss Valley 1 ",1678,1853,1447,1360,1725,294,1862,1573,1783
"","W01000727: Swiss Valley 2 ",1306,1520,782,941,1229,584,1894,1451,1735
"","W01000728: Trelech ",1001,1234,1327,1425,980,26,1883,1524,841
"","W01000729: Trimsaran 1 ",383,404,253,256,342,931,1628,1834,755
"","W01000730: Trimsaran 2 ",600,676,522,637,719,302,1142,1248,632
"","W01000731: Tycroes ",1185,1112,1022,933,1044,487,1211,1767,1454
"","W01000732: Tyisha 1 ",510,598,655,318,507,1772,248,137,571
"","W01000733: Tyisha 2 ",44,92,15,67,212,1783,21,78,466
"","W01000734: Tyisha 3 ",161,146,59,640,556,1623,99,40,726
"","W01000735: Whitland ",899,1111,1221,1002,874,181,1603,462,326
"Swansea ","",".",".",".",".",".",".",".",".","."
"Swansea ","W01000736: Bishopston 1 ",1820,1802,1673,1850,1859,380,1802,1852,1661
"","W01000737: Bishopston 2 ",1439,1652,1673,1076,1702,89,1803,1760,1149
"","W01000738: Bonymaen 1 ",61,60,73,96,52,1259,103,672,614
"","W01000739: Bonymaen 2 ",236,242,456,200,156,1065,216,398,322
"","W01000740: Bonymaen 3 ",926,1066,941,284,999,1052,1098,694,1609
"","W01000741: Bonymaen 4 ",424,284,456,350,382,1489,831,595,736
"","W01000742: Castle 1 ",41,80,15,51,86,1789,79,465,352
"","W01000743: Castle 2 ",62,123,13,149,172,1564,77,191,296
"","W01000744: Castle 3 ",282,371,347,182,221,1649,197,605,333
"","W01000745: Castle 4 ",278,249,456,248,480,1841,57,458,57
"","W01000746: Castle 5 ",660,743,708,701,310,1503,507,888,305
"","W01000747: Castle 6 ",671,673,1111,145,798,1848,552,1369,145
"","W01000748: Castle 7 ",585,726,585,811,603,1031,257,189,278
"","W01000749: Castle 8 ",289,208,295,493,401,1746,189,525,251
"","W01000750: Clydach 1 ",529,481,522,547,537,623,1286,353,1140
"","W01000751: Clydach 2 ",1457,1675,1221,1210,1550,435,1529,403,1484
"","W01000752: Clydach 3 ",338,266,347,714,148,1152,750,252,1052
"","W01000753: Clydach 4 ",690,679,782,541,611,841,1026,257,1402
"","W01000754: Clydach 5 ",743,764,655,594,784,1810,736,89,1386
"","W01000755: Cockett 1 ",979,844,941,974,544,1237,664,1584,1006
"","W01000756: Cockett 2 ",279,291,153,591,362,873,418,293,1332
"","W01000757: Cockett 3 ",937,798,782,738,749,1090,1069,1541,1251
"","W01000758: Cockett 4 ",1229,1202,1111,743,853,1022,814,1696,1448
"","W01000759: Cockett 5 ",1188,1310,1221,473,1401,1094,1488,156,1478
"","W01000760: Cockett 6 ",524,715,708,308,398,440,679,573,923
"","W01000761: Cockett 7 ",650,569,782,502,344,1536,250,1517,1134
"","W01000762: Cockett 8 ",254,158,400,312,81,1540,298,1677,1416
"","W01000763: Cwmbwrla 1 ",920,800,941,755,534,1800,1164,776,636
"","W01000764: Cwmbwrla 2 ",971,848,861,1151,554,1534,743,1470,519
"","W01000765: Cwmbwrla 3 ",914,721,861,1235,715,1850,688,485,389
"","W01000766: Cwmbwrla 4 ",1178,885,1111,989,931,1687,758,857,859
"","W01000767: Cwmbwrla 5 ",490,343,400,581,400,1530,584,1725,661
"","W01000768: Dunvant 1 ",1525,1459,1221,1290,1302,699,1693,1348,1041
"","W01000769: Dunvant 2 ",1663,1442,1327,1439,1491,689,1683,1693,1804
"","W01000770: Dunvant 3 ",1813,1683,1560,1759,1498,944,1482,1545,1529
"","W01000771: Fairwood 2 ",1378,1210,1111,1195,1568,391,1544,1689,1575
"","W01000772: Fairwood 1 ",1647,1536,1327,1426,1740,469,1523,1775,1694
"","W01000773: Gorseinon 1 ",610,571,522,558,738,1511,516,279,897
"","W01000774: Gorseinon 2 ",1004,900,655,1217,1001,1776,287,626,1554
"","W01000775: Gower (Swansea) 1 ",1546,1654,1673,1559,1632,138,1702,1599,964
"","W01000776: Gower (Swansea) 2 ",1624,1779,1673,1346,1819,193,1844,982,1553
"","W01000777: Gowerton 1 ",1652,1555,1447,1317,1563,1320,1350,256,1851
"","W01000778: Gowerton 2 ",1636,1344,1327,1256,1410,1589,1125,860,1633
"","W01000779: Gowerton 3 ",1103,857,941,866,1088,1178,747,1103,1580
"","W01000780: Killay North 1 ",1792,1896,1896,1891,1771,558,1519,1414,357
"","W01000781: Killay North 2 ",1894,1852,1761,1853,1835,1072,1654,1598,1850
"","W01000782: Killay South 1 ",1773,1467,1447,1638,1419,1204,1678,1590,1644
"","W01000783: Killay South 2 ",1671,1463,1327,1154,1484,1344,1379,1217,1621
"","W01000784: Kingsbridge 1 ",1327,1174,941,898,1279,1408,1290,731,1721
"","W01000785: Kingsbridge 2 ",1787,1889,1560,1440,1650,629,1759,1194,1830
"","W01000786: Kingsbridge 3 ",1445,1587,1447,896,1408,362,1495,931,1495
"","W01000787: Landore 1 ",570,530,782,771,377,862,492,212,626
"","W01000788: Landore 2 ",374,464,522,289,281,1705,181,128,388
"","W01000789: Landore 3 ",233,257,223,210,252,1812,468,247,314
"","W01000790: Landore 4 ",302,227,522,574,202,1781,368,421,39
"","W01000791: Llangyfelach 1 ",1691,1607,1447,1763,1502,549,1690,1048,1464
"","W01000792: Llangyfelach 2 ",1612,1635,1447,1592,1657,277,1353,1297,1727
"","W01000793: Llangyfelach 3 ",1696,1788,1761,1780,1587,240,1534,1238,1445
"","W01000794: Llansamlet 1 ",866,1024,1111,214,996,666,1177,763,1209
"","W01000795: Llansamlet 2 ",1604,1768,1327,1407,1496,519,1410,1007,1095
"","W01000796: Llansamlet 3 ",1251,1340,1327,1046,1067,372,1134,575,1461
"","W01000797: Llansamlet 4 ",1549,1372,1111,1424,1238,975,1326,1589,1490
"","W01000798: Llansamlet 5 ",1036,1001,708,905,624,1562,821,1526,1588
"","W01000799: Llansamlet 6 ",305,245,456,423,108,1160,195,1489,1098
"","W01000800: Llansamlet 7 ",1574,1694,1560,951,1558,430,1700,767,1785
"","W01000801: Llansamlet 8 ",317,221,347,338,248,823,897,1628,769
"","W01000802: Lower Loughor ",891,784,782,791,1074,589,1093,590,1599
"","W01000803: Mawr ",943,1167,941,1141,1085,177,1299,436,1037
"","W01000804: Mayals 1 ",1721,1614,1560,1812,1802,411,1676,902,1716
"","W01000805: Mayals 2 ",1825,1888,1761,1720,1876,314,1892,1758,1863
"","W01000806: Morriston 1 ",929,863,1022,965,864,579,1251,440,721
"","W01000807: Morriston 2 ",1650,1716,1560,1524,1303,781,1502,537,1116
"","W01000808: Morriston 3 ",1163,1276,782,768,1258,1085,1503,350,1557
"","W01000809: Morriston 4 ",804,698,941,745,634,1753,633,152,981
"","W01000810: Morriston 5 ",133,120,153,252,88,1194,215,214,886
"","W01000811: Morriston 6 ",552,384,456,978,422,1473,427,1008,735
"","W01000812: Morriston 7 ",178,161,223,274,135,1728,218,121,524
"","W01000813: Morriston 8 ",1462,1187,1221,1465,1098,1508,691,837,1146
"","W01000814: Morriston 9 ",226,250,347,56,394,796,263,571,684
"","W01000815: Morriston 10 ",1526,1667,1447,1435,1414,499,1158,338,1649
"","W01000816: Morriston 11 ",1627,1670,1673,1681,1406,457,1622,426,1313
"","W01000817: Mynyddbach 1 ",49,44,49,94,43,1115,117,1150,1256
"","W01000818: Mynyddbach 2 ",492,360,456,589,365,1284,289,1553,1279
"","W01000819: Mynyddbach 3 ",1710,1597,1447,1408,1476,776,1414,1306,1846
"","W01000820: Mynyddbach 4 ",961,985,861,747,580,1241,622,1438,1177
"","W01000821: Mynyddbach 5 ",714,750,655,810,459,1082,388,945,1107
"","W01000822: Mynyddbach 6 ",1338,1285,941,1385,987,824,1682,764,1642
"","W01000823: Newton (Swansea) 1 ",1854,1843,1761,1773,1872,438,1811,1848,1798
"","W01000824: Newton (Swansea) 2 ",1714,1600,1560,1606,1794,357,1711,1860,1440
"","W01000825: Oystermouth 1 ",1668,1299,1447,1501,1603,1575,770,1162,920
"","W01000826: Oystermouth 2 ",1733,1793,1447,1774,1842,348,1627,1855,1218
"","W01000827: Oystermouth 3 ",1875,1660,1761,1351,1744,1654,1527,1840,1114
"","W01000828: Penclawdd 1 ",1582,1553,1327,1438,1610,333,1776,1299,1667
"","W01000829: Penclawdd 2 ",809,998,861,213,1035,717,1034,861,1546
"","W01000830: Penderry 1 ",19,16,49,20,7,1131,34,1413,1377
"","W01000831: Penderry 2 ",228,175,253,476,80,1528,161,1527,662
"","W01000832: Penderry 3 ",33,59,22,42,28,1374,62,1424,1183
"","W01000833: Penderry 4 ",29,38,27,43,35,1346,67,1065,900
"","W01000834: Penderry 5 ",190,107,347,468,29,1145,200,1513,1017
"","W01000835: Penderry 6 ",253,261,295,181,115,1658,339,1592,782
"","W01000836: Penderry 7 ",90,93,223,142,14,561,91,1659,649
"","W01000837: Penllergaer 1 ",1746,1875,1673,1452,1777,263,1750,1879,1860
"","W01000838: Penllergaer 2 ",299,305,347,262,211,461,974,1285,1278
"","W01000839: Pennard 1 ",1688,1690,1447,1644,1616,370,1814,1506,1469
"","W01000840: Pennard 2 ",1827,1879,1673,1802,1834,395,1819,1668,1623
"","W01000841: Penyrheol (Swansea) 1 ",774,548,708,786,540,1025,893,1660,1547
"","W01000842: Penyrheol (Swansea) 2 ",1038,1359,1111,573,866,326,1325,1160,1224
"","W01000843: Penyrheol (Swansea) 3 ",1542,1466,1111,1640,977,1001,1139,1262,1833
"","W01000844: Penyrheol (Swansea) 4 ",402,428,347,396,326,573,634,1272,874
"","W01000845: Pontardulais 1 ",1499,1456,1221,1099,1415,648,1553,921,1601
"","W01000846: Pontardulais 2 ",749,680,655,867,727,1716,513,143,1176
"","W01000847: Pontardulais 3 ",828,879,708,826,984,720,813,235,1262
"","W01000848: Pontardulais 4 ",367,259,400,445,388,812,478,445,931
"","W01000849: St. Thomas 1 ",180,244,253,110,209,856,367,322,215
"","W01000850: St. Thomas 2 ",361,300,522,359,294,1478,338,201,401
"","W01000851: St. Thomas 3 ",534,543,456,632,389,957,595,1266,604
"","W01000852: St. Thomas 4 ",796,826,782,629,471,1744,958,766,478
"","W01000853: Sketty 1 ",1849,1651,1447,1705,1709,1362,1707,1241,1731
"","W01000854: Sketty 2 ",1562,1739,1560,566,1775,464,1868,1480,1719
"","W01000855: Sketty 3 ",1698,1545,1560,869,1711,844,1768,1627,1839
"","W01000856: Sketty 4 ",244,176,49,661,767,1339,654,903,1136
"","W01000857: Sketty 5 ",1135,665,861,999,1423,1543,1358,915,1243
"","W01000858: Sketty 6 ",1760,1630,1560,1077,1772,1541,1185,822,1577
"","W01000859: Sketty 7 ",1681,1560,1111,1736,1867,865,1681,698,1802
"","W01000860: Sketty 8 ",1784,1873,1873,1799,1883,318,1822,639,1845
"","W01000861: Sketty 9 ",1723,1822,1873,662,1660,1471,1772,738,834
"","W01000862: Townhill 1 ",6,3,15,23,4,1185,19,1460,677
"","W01000863: Townhill 2 ",32,20,27,97,42,1438,146,1774,348
"","W01000864: Townhill 3 ",14,17,34,32,6,1342,38,925,503
"","W01000865: Townhill 4 ",433,262,456,776,147,1612,588,1547,1010
"","W01000866: Townhill 5 ",87,74,120,144,18,1651,260,1618,474
"","W01000867: Townhill 6 ",77,62,120,70,23,1455,438,1736,808
"","W01000868: Uplands 1 ",1838,1749,1560,1635,1447,1038,1432,1785,1776
"","W01000869: Uplands 2 ",922,831,585,777,1319,1516,578,1711,491
"","W01000870: Uplands 3 ",1727,1495,1327,1492,1849,1688,1166,1386,530
"","W01000871: Uplands 4 ",626,559,655,592,511,1807,477,1387,172
"","W01000872: Uplands 5 ",1878,1731,1761,1777,1758,1156,1607,1207,1407
"","W01000873: Uplands 6 ",1396,1458,1327,673,1692,1420,732,1381,246
"","W01000874: Uplands 7 ",1781,1474,1761,1511,1698,1722,840,1351,574
"","W01000875: Uplands 8 ",1112,1106,1111,1003,785,1523,717,1645,149
"","W01000876: Uplands 9 ",1628,1669,1761,1240,1438,1465,1116,1113,115
"","W01000877: Upper Loughor 1 ",1333,1524,1111,1244,1299,537,1345,289,1503
"","W01000878: Upper Loughor 2 ",1168,1221,861,1339,900,506,1020,1560,1161
"","W01000879: West Cross 1 ",1821,1769,1560,1750,1786,884,1838,640,1792
"","W01000880: West Cross 2 ",1844,1679,1447,1529,1728,1361,1687,1429,1598
"","W01000881: West Cross 3 ",472,344,253,379,815,982,1170,1709,1530
"","W01000882: West Cross 4 ",777,473,585,778,922,870,1331,1821,1592
"Neath Port Talbot ","",".",".",".",".",".",".",".",".","."
"Neath Port Talbot ","W01000883: Aberavon 1 ",1473,1811,1221,1753,1210,724,1496,86,1331
"","W01000884: Aberavon 2 ",164,140,183,315,122,1587,281,91,896
"","W01000885: Aberavon 3 ",101,166,73,80,165,1476,397,73,875
"","W01000886: Aberavon 4 ",46,57,73,64,105,1754,17,79,531
"","W01000887: Aberdulais ",858,797,708,819,989,612,1070,553,1434
"","W01000888: Allt-wen ",1044,872,941,703,1125,704,1140,1342,1627
"","W01000889: Baglan 1 ",1127,1381,708,1247,1249,878,699,254,1542
"","W01000890: Baglan 2 ",1757,1778,1221,1636,1625,871,1765,1112,1876
"","W01000891: Baglan 3 ",522,602,522,327,467,694,993,665,1073
"","W01000892: Baglan 4 ",1286,1291,941,1259,971,1045,1106,489,1673
"","W01000893: Blaengwrach ",654,512,400,859,740,952,1108,878,1381
"","W01000894: Briton Ferry East 1 ",1010,909,708,1307,915,1041,767,535,1500
"","W01000895: Briton Ferry East 2 ",346,310,153,634,594,1878,104,645,884
"","W01000896: Briton Ferry West 1 ",105,37,59,635,138,1255,481,416,1245
"","W01000897: Briton Ferry West 2 ",645,581,585,653,647,1579,772,260,590
"","W01000898: Bryn and Cwmavon 1 ",819,886,585,721,911,416,1412,1518,1280
"","W01000899: Bryn and Cwmavon 2 ",1498,1502,1111,1084,1405,864,1369,753,1762
"","W01000900: Bryn and Cwmavon 3 ",222,222,153,78,549,1263,589,920,779
"","W01000901: Bryn and Cwmavon 4 ",542,641,522,207,764,543,899,1473,943
"","W01000902: Bryn-coch North 1 ",1420,1493,1022,1033,1395,458,1656,1658,1841
"","W01000903: Bryn-coch North 2 ",1774,1862,1560,1389,1774,434,1842,1854,1854
"","W01000904: Bryn-coch South 1 ",1834,1855,1761,1699,1759,402,1742,1807,1890
"","W01000905: Bryn-coch South 2 ",1177,1138,861,1025,1335,377,1171,1801,1717
"","W01000906: Bryn-coch South 3 ",1466,1294,1022,1717,1578,557,1292,798,1703
"","W01000907: Bryn-coch South 4 ",505,461,456,341,567,478,957,1729,1674
"","W01000908: Cadoxton ",1722,1561,1447,1589,1532,619,1787,1521,1710
"","W01000909: Cimla 1 ",775,862,585,515,469,989,1447,1802,1383
"","W01000910: Cimla 2 ",1554,1574,1111,1277,1441,595,1370,1720,1685
"","W01000911: Cimla 3 ",1640,1612,1221,1621,1361,520,1817,1701,1778
"","W01000912: Coedffranc Central 1 ",909,810,655,607,988,1673,1006,610,1526
"","W01000913: Coedffranc Central 2 ",935,869,655,1005,667,1846,646,876,1096
"","W01000914: Coedffranc Central 3 ",234,194,347,198,234,610,491,413,1188
"","W01000915: Coedffranc North 1 ",1159,1141,861,928,642,1553,1008,1119,1466
"","W01000916: Coedffranc North 2 ",962,1081,861,621,814,531,1240,1434,1372
"","W01000917: Coedffranc West ",1221,1308,1022,1361,1170,397,1081,506,1608
"","W01000918: Crynant ",991,946,782,469,1250,1084,1561,825,1327
"","W01000919: Cwmllynfell ",716,837,522,463,929,437,1574,1203,1570
"","W01000920: Cymmer (Neath Port Talbot) 1 ",446,597,347,199,380,846,643,1644,1375
"","W01000921: Cymmer (Neath Port Talbot) 2 ",25,48,10,11,34,1265,81,1862,1192
"","W01000922: Dyffryn 1 ",551,538,400,598,726,582,1004,555,1191
"","W01000923: Dyffryn 2 ",1315,1364,941,1482,1177,586,1391,540,1562
"","W01000924: Glyncorrwg ",168,254,120,176,104,1365,603,504,587
"","W01000925: Glynneath 1 ",268,272,223,386,348,832,901,106,903
"","W01000926: Glynneath 2 ",1160,1121,782,1156,972,1098,1197,562,1432
"","W01000927: Godre'r graig ",642,727,456,748,731,307,1257,819,1506
"","W01000928: Gwaun-Cae-Gurwen 1 ",497,439,400,337,527,1067,1274,759,1337
"","W01000929: Gwaun-Cae-Gurwen 2 ",475,547,347,393,596,424,1043,832,1261
"","W01000930: Gwynfi ",193,299,73,291,101,1493,485,1697,858
"","W01000931: Lower Brynamman ",627,654,456,679,653,663,1035,805,990
"","W01000932: Margam 1 ",583,644,456,1031,485,768,1109,64,1512
"","W01000933: Margam 2 ",1429,1549,1560,1187,1500,266,1605,561,1112
"","W01000934: Neath East 1 ",167,206,120,261,241,1356,224,80,853
"","W01000935: Neath East 2 ",141,178,34,317,318,1706,318,285,641
"","W01000936: Neath East 3 ",201,205,120,146,641,889,417,281,1255
"","W01000937: Neath East 4 ",196,323,97,156,430,1091,354,217,751
"","W01000938: Neath North 1 ",1465,1225,941,1224,1448,1674,1280,594,1606
"","W01000939: Neath North 2 ",92,139,13,148,460,1888,98,447,420
"","W01000940: Neath North 3 ",271,173,295,268,357,906,549,1043,905
"","W01000941: Neath South 1 ",364,354,295,180,468,1189,534,729,1368
"","W01000942: Neath South 2 ",176,187,153,89,197,791,826,1722,879
"","W01000943: Neath South 3 ",1765,1663,1447,1449,1380,1054,1540,1622,1653
"","W01000944: Onllwyn ",516,632,295,698,502,379,1237,1612,1069
"","W01000945: Pelenna ",601,820,585,408,275,563,1102,1741,1630
"","W01000946: Pontardawe 1 ",725,802,708,395,1010,334,1296,1102,1427
"","W01000947: Pontardawe 2 ",447,339,400,271,552,654,1054,1830,1431
"","W01000948: Pontardawe 3 ",846,731,585,674,1157,1646,489,599,1336
"","W01000949: Port Talbot 1 ",1022,984,941,922,892,538,1145,900,1446
"","W01000950: Port Talbot 2 ",617,609,522,818,470,1588,319,414,868
"","W01000951: Port Talbot 3 ",357,557,347,69,912,1591,70,208,1075
"","W01000952: Port Talbot 4 ",718,894,708,184,1204,1582,751,269,1156
"","W01000953: Resolven 1 ",603,580,522,702,707,525,1072,619,803
"","W01000954: Resolven 2 ",901,937,861,649,886,762,1419,291,1409
"","W01000955: Rhos 1 ",1214,1142,861,1164,1478,359,1592,1210,1679
"","W01000956: Rhos 2 ",1623,1728,1221,1211,1580,429,1870,1769,1857
"","W01000957: Sandfields East 1 ",219,171,97,358,404,1423,222,1195,1057
"","W01000958: Sandfields East 2 ",67,85,59,27,59,1768,214,974,1091
"","W01000959: Sandfields East 3 ",960,919,782,963,770,1061,686,847,1184
"","W01000960: Sandfields East 4 ",303,349,223,281,283,1383,853,263,1292
"","W01000961: Sandfields West 1 ",416,519,347,187,421,1446,539,597,772
"","W01000962: Sandfields West 2 ",58,89,59,28,44,1567,330,684,728
"","W01000963: Sandfields West 3 ",124,142,73,129,141,1372,314,870,1000
"","W01000964: Sandfields West 4 ",135,143,59,191,167,1136,599,770,1135
"","W01000965: Seven Sisters ",500,616,347,303,488,837,1085,1292,1049
"","W01000966: Tai-bach 1 ",619,585,400,841,787,741,1049,415,1244
"","W01000967: Tai-bach 2 ",283,297,223,373,426,1614,202,157,725
"","W01000968: Tai-bach 3 ",622,630,456,720,859,715,771,360,1045
"","W01000969: Tonna 1 ",1563,1623,1221,1334,1494,515,1598,954,1692
"","W01000970: Tonna 2 ",661,882,861,100,697,831,1509,791,1260
"","W01000971: Trebanos ",703,720,708,363,890,507,1304,986,1308
"","W01000972: Ystalyfera 1 ",487,505,183,983,592,834,863,935,1038
"","W01000973: Ystalyfera 2 ",318,345,183,211,602,1425,895,264,1158
"Bridgend ","",".",".",".",".",".",".",".",".","."
"Bridgend ","W01000974: Aberkenfig ",903,1020,861,691,1002,624,867,361,1172
"","W01000975: Bettws (Bridgend) ",56,63,73,12,58,915,380,1661,1012
"","W01000976: Blackmill 1 ",210,386,120,329,99,635,596,1809,429
"","W01000977: Blackmill 2 ",203,389,223,205,100,327,425,964,709
"","W01000978: Blaengarw ",735,712,522,672,637,900,870,1883,1221
"","W01000979: Brackla 1 ",1262,1058,1221,1469,1218,636,888,855,608
"","W01000980: Brackla 2 ",624,915,861,93,953,969,952,374,675
"","W01000981: Brackla 3 ",95,43,97,161,256,835,140,854,1581
"","W01000982: Brackla 4 ",1472,1229,1221,1483,1086,1299,972,548,1597
"","W01000983: Brackla 5 ",1485,1377,1560,1662,1321,358,1514,428,1398
"","W01000984: Brackla 6 ",1345,983,1327,1624,1596,692,1175,265,1189
"","W01000985: Brackla 7 ",1789,1803,1761,1884,1761,381,1590,985,1884
"","W01000986: Bryncethin ",1062,1273,1111,555,1124,439,1277,629,1457
"","W01000987: Bryncoch ",350,391,456,334,263,1349,472,270,157
"","W01000988: Bryntirion, Laleston and Mert ",1780,1622,1673,1798,1763,465,1549,1360,1862
"","W01000989: Bryntirion, Laleston and Mert ",1541,1460,1327,1664,1708,375,812,1220,1584
"","W01000990: Bryntirion, Laleston and Mert ",296,408,120,325,533,1106,694,1349,298
"","W01000991: Caerau (Bridgend) 1 ",8,42,7,15,1,675,13,1502,628
"","W01000992: Caerau (Bridgend) 2 ",38,115,15,41,68,738,47,1443,359
"","W01000993: Caerau (Bridgend) 3 ",162,232,97,158,127,1380,198,1727,838
"","W01000994: Caerau (Bridgend) 4 ",215,365,153,86,220,786,570,1237,1133
"","W01000995: Caerau (Bridgend) 5 ",847,768,585,459,845,1633,1014,1564,1430
"","W01000996: Cefn Cribwr ",646,651,522,750,559,364,964,1777,1335
"","W01000997: Cefn Glas ",1301,1352,861,1208,1169,866,1121,1019,1126
"","W01000998: Coity ",1670,1806,1761,1460,1654,267,1247,1020,1819
"","W01000999: Cornelly 1 ",326,374,295,225,324,1108,574,913,377
"","W01001000: Cornelly 2 ",723,929,861,235,802,575,911,1243,954
"","W01001001: Cornelly 3 ",740,599,585,1305,588,965,857,522,1068
"","W01001002: Cornelly 4 ",73,90,97,74,96,1199,143,224,363
