,LSOA Code,LSOA Name.x,Local Authority Name,WIMD 2019,WIMD 2014 (r),WIMD 2011 score,from14to19,from11to14,from11to19,Of interest
1114,W01001149,Aberdare East 3,Rhondda Cynon Taf,22.02821795,22.10521874,19.3337603,-0.07700079,2.771458439,2.694457649,
1115,W01001150,Aberdare East 4,Rhondda Cynon Taf,38.29240787,38.8772564,39.20466009,-0.58484853,-0.327403694,-0.912252224,
1116,W01001151,Aberdare West/Llwydcoed 1,Rhondda Cynon Taf,11.48821499,12.24610179,13.74518225,-0.7578868,-1.499080461,-2.256967261,
1117,W01001152,Aberdare West/Llwydcoed 2,Rhondda Cynon Taf,14.50929394,22.28540301,20.68646791,-7.77610907,1.598935097,-6.177173973,
1118,W01001153,Aberdare West/Llwydcoed 3,Rhondda Cynon Taf,31.24796735,27.83379575,26.76734802,3.4141716,1.066447733,4.480619333,
1119,W01001154,Aberdare West/Llwydcoed 4,Rhondda Cynon Taf,30.39030632,30.80927173,27.08037228,-0.41896541,3.728899449,3.309934039,
1120,W01001155,Aberdare West/Llwydcoed 5,Rhondda Cynon Taf,26.12376788,21.43293998,23.89772831,4.6908279,-2.464788334,2.226039566,
1121,W01001156,Aberdare West/Llwydcoed 6,Rhondda Cynon Taf,2.009660417,4.408047046,4.621187211,-2.398386629,-0.213140165,-2.611526794,
855,W01000887,Aberdulais,Neath Port Talbot,22.04520358,19.14757984,19.4149383,2.89762374,-0.267358455,2.630265285,
45,W01000047,Abererch,Gwynedd,13.52829384,14.34842017,14.14206632,-0.82012633,0.206353847,-0.613772483,
1,W01000001,Aberffraw & Rhosneigr 1,Isle of Anglesey,19.17394138,19.06670358,21.80435515,0.1072378,-2.737651565,-2.630413765,
2,W01000002,Aberffraw & Rhosneigr 2,Isle of Anglesey,12.21066335,14.22525989,19.51552868,-2.01459654,-5.290268786,-7.304865326,
599,W01000624,Abergwili,Carmarthenshire,11.09690069,9.239237474,10.12416933,1.857663216,-0.884931851,0.972731365,
941,W01000974,Aberkenfig,Bridgend,14.32563669,16.32822219,18.46550201,-2.0025855,-2.137279817,-4.139865317,
46,W01000048,Abermaw 1,Gwynedd,18.84795295,20.13394411,17.47920409,-1.28599116,2.654740025,1.368748865,
47,W01000049,Abermaw 2,Gwynedd,16.41824012,14.147613,20.20199626,2.27062712,-6.054383258,-3.783756138,
487,W01000507,Aberporth 1,Ceredigion,13.84719694,12.34764693,9.824511417,1.49955001,2.523135513,4.022685523,
488,W01000508,Aberporth 2,Ceredigion,19.5110305,23.00328489,19.03748812,-3.49225439,3.965796768,0.473542378,
1444,W01001482,Abersychan 1,Torfaen,36.38159951,38.12987968,37.95095752,-1.74828017,0.178922158,-1.569358012,
1445,W01001483,Abersychan 2,Torfaen,43.59255511,43.19172903,32.87876989,0.40082608,10.31295914,10.71378522,
1446,W01001484,Abersychan 3,Torfaen,16.24244414,12.32201593,17.12244134,3.92042821,-4.800425406,-0.879997196,
1447,W01001485,Abersychan 4,Torfaen,37.64950763,31.70735441,28.51029645,5.94215322,3.197057961,9.139211181,
1448,W01001486,Abersychan 5,Torfaen,20.06985817,19.17003582,21.42326924,0.89982235,-2.253233418,-1.353411068,
489,W01000509,Aberteifi/Cardigan - Mwldan,Ceredigion,18.93136057,17.34745416,19.66712804,1.58390641,-2.319673881,-0.735767471,
490,W01000510,Aberteifi/Cardigan - Rhyd-y-Fuwch,Ceredigion,33.59320651,27.52320906,33.08407629,6.06999745,-5.560867232,0.509130218,
491,W01000511,Aberteifi/Cardigan - Teifi,Ceredigion,49.6943466,48.26115039,39.16397745,1.43319621,9.097172937,10.53036915,
1397,W01001435,Abertillery 1,Blaenau Gwent,28.39146597,29.72636042,29.61887129,-1.33489445,0.107489134,-1.227405316,
1398,W01001436,Abertillery 2,Blaenau Gwent,38.28408785,34.87439835,30.73339134,3.4096895,4.141007012,7.550696512,
1399,W01001437,Abertillery 3,Blaenau Gwent,17.80705724,20.55718283,18.85145218,-2.75012559,1.705730646,-1.044394944,
492,W01000512,Aberystwyth Bronglais,Ceredigion,8.600834851,4.068886833,4.909028191,4.531948018,-0.840141358,3.69180666,
493,W01000513,Aberystwyth Canol/Central,Ceredigion,20.9623054,12.34248546,15.54736474,8.61981994,-3.204879283,5.414940657,
494,W01000515,Aberystwyth Penparcau 1,Ceredigion,27.17752372,27.19026971,24.0502248,-0.01274599,3.140044909,3.127298919,
495,W01000516,Aberystwyth Penparcau 2,Ceredigion,25.64356266,25.6534345,21.63508975,-0.00987184,4.018344751,4.008472911,
496,W01000517,Aberystwyth Rheidol 1,Ceredigion,16.83934354,11.66030032,13.95021347,5.17904322,-2.289913147,2.889130073,
497,W01000518,Aberystwyth Rheidol 2,Ceredigion,16.25708939,18.00392955,11.46013198,-1.74684016,6.543797572,4.796957412,
334,W01000341,Acton 1,Wrexham,17.82234458,14.19200986,17.28906989,3.63033472,-3.097060032,0.533274688,
335,W01000342,Acton 2,Wrexham,27.05783503,28.73774436,26.93846943,-1.67990933,1.799274927,0.119365597,
1651,W01001694,Adamsdown 1,Cardiff,44.7466529,49.65711769,47.00800799,-4.91046479,2.6491097,-2.26135509,
1652,W01001695,Adamsdown 2,Cardiff,34.2219706,31.7196014,27.02260962,2.5023692,4.696991776,7.199360976,
1653,W01001696,Adamsdown 3,Cardiff,57.98114206,61.89453594,55.57198901,-3.91339388,6.322546932,2.409153052,
1654,W01001697,Adamsdown 4,Cardiff,40.71155669,38.21534998,36.51057309,2.49620671,1.704776887,4.200983597,
1655,W01001698,Adamsdown 5,Cardiff,45.83726583,43.78154007,50.16037766,2.05572576,-6.378837587,-4.323111827,
856,W01000888,Allt-wen,Neath Port Talbot,13.62963966,14.30283355,16.00314882,-0.67319389,-1.700315265,-2.373509155,
1558,W01001600,Allt-yr-yn 1,Newport,3.666659262,4.965404654,6.754693345,-1.298745392,-1.789288691,-3.088034083,
1559,W01001601,Allt-yr-yn 2,Newport,44.36056871,35.76089656,35.39458424,8.59967215,0.366312321,8.965984471,
1560,W01001602,Allt-yr-yn 3,Newport,4.418773458,3.120685251,6.643778942,1.298088207,-3.523093691,-2.225005484,
1561,W01001603,Allt-yr-yn 4,Newport,20.06850225,18.97689921,18.31505403,1.09160304,0.661845179,1.753448219,
1562,W01001604,Allt-yr-yn 5,Newport,6.604592188,4.768437332,6.87690773,1.836154856,-2.108470398,-0.272315542,
1563,W01001605,Allt-yr-yn 6,Newport,30.10489465,25.32213824,22.55030573,4.78275641,2.771832509,7.554588919,
1564,W01001606,Alway 1,Newport,9.719801041,7.89846561,13.37160854,1.821335431,-5.473142931,-3.6518075,Y
1565,W01001607,Alway 2,Newport,56.86344188,65.72127213,58.59588571,-8.85783025,7.125386417,-1.732443833,Y
1566,W01001608,Alway 3,Newport,10.60464144,9.850179123,11.78495167,0.754462317,-1.934772548,-1.180310231,Y
1567,W01001609,Alway 4,Newport,51.2549582,58.30849069,56.52505601,-7.05353249,1.783434684,-5.270097806,Y
1568,W01001610,Alway 5,Newport,32.97549365,25.77206504,31.83004579,7.20342861,-6.05798075,1.14544786,Y
1569,W01001611,Alway 6,Newport,20.13584246,19.50572734,19.3393999,0.63011512,0.166327443,0.796442563,Y
3,W01000003,Amlwch Port,Isle of Anglesey,26.79617755,28.3743046,27.38750039,-1.57812705,0.98680421,-0.59132284,
4,W01000004,Amlwch Rural,Isle of Anglesey,15.49385327,14.69150039,21.27653693,0.80235288,-6.585036537,-5.782683657,
600,W01000625,Ammanford 1,Carmarthenshire,33.253045,37.82937198,33.50224719,-4.57632698,4.327124786,-0.249202194,
601,W01000626,Ammanford 2,Carmarthenshire,31.19531723,27.2610559,23.05691313,3.93426133,4.204142774,8.138404104,
528,W01000553,Amroth,Pembrokeshire,15.69690883,13.92846169,14.48741661,1.76844714,-0.558954923,1.209492217,
1296,W01001334,Argoed (Caerphilly) 1,Caerphilly,41.95560397,44.07202883,43.95672319,-2.11642486,0.115305636,-2.001119224,
1297,W01001335,Argoed (Caerphilly) 2,Caerphilly,22.73536976,26.64614411,26.50033098,-3.91077435,0.145813134,-3.764961216,
242,W01000249,Argoed (Flintshire) 1,Flintshire,2.696308315,3.434013595,4.957716211,-0.73770528,-1.523702616,-2.261407896,
243,W01000250,Argoed (Flintshire) 2,Flintshire,5.079592662,3.335811089,6.344506155,1.743781573,-3.008695066,-1.264913493,
48,W01000050,Arllechwedd,Gwynedd,19.76935283,15.93237315,14.60836619,3.83697968,1.324006963,5.160986643,
244,W01000251,Aston 1,Flintshire,13.12443847,14.11941048,13.65401559,-0.99497201,0.465394892,-0.529577118,
245,W01000252,Aston 2,Flintshire,9.291758525,10.88402439,9.794204174,-1.592265865,1.089820216,-0.502445649,
1400,W01001438,Badminton 1,Blaenau Gwent,25.49569708,25.41639915,19.36083485,0.07929793,6.055564302,6.134862232,
1401,W01001439,Badminton 2,Blaenau Gwent,14.32324158,17.00014397,14.97527015,-2.67690239,2.024873819,-0.652028571,
246,W01000253,Bagillt East,Flintshire,18.16602975,18.93223103,19.84827837,-0.76620128,-0.916047335,-1.682248615,
247,W01000254,Bagillt West,Flintshire,26.32208565,29.27275989,30.47727852,-2.95067424,-1.204518628,-4.155192868,
857,W01000889,Baglan 1,Neath Port Talbot,14.94300248,14.74583459,14.8830036,0.19716789,-0.137169006,0.059998884,
858,W01000890,Baglan 2,Neath Port Talbot,3.945770143,4.724470497,6.107636828,-0.778700354,-1.383166331,-2.161866685,
859,W01000891,Baglan 3,Neath Port Talbot,20.99340865,22.31156046,27.54862555,-1.31815181,-5.237065094,-6.555216904,
860,W01000892,Baglan 4,Neath Port Talbot,10.07972365,10.17836013,12.80851623,-0.09863648,-2.630156102,-2.728792582,
49,W01000051,Bala,Gwynedd,14.49142455,14.28764251,13.03383888,0.20378204,1.253803628,1.457585668,
1298,W01001336,Bargoed 1,Caerphilly,27.11289117,27.74080506,30.3353231,-0.62791389,-2.59451804,-3.22243193,
1299,W01001337,Bargoed 2,Caerphilly,22.8958911,22.79186079,21.66393094,0.10403031,1.127929851,1.231960161,
1300,W01001338,Bargoed 3,Caerphilly,30.21761515,26.62161852,32.10115691,3.59599663,-5.479538385,-1.883541755,
1301,W01001339,Bargoed 4,Caerphilly,66.40326567,68.37720072,70.08517955,-1.97393505,-1.707978826,-3.681913876,
1025,W01001059,Baruc 1,Vale of Glamorgan,6.839958459,8.804220806,8.99595537,-1.964262347,-0.191734564,-2.155996911,
1026,W01001060,Baruc 2,Vale of Glamorgan,3.134689148,4.897080986,4.945788689,-1.762391838,-0.048707703,-1.811099541,
1027,W01001061,Baruc 3,Vale of Glamorgan,20.74518818,23.84495711,22.90340509,-3.09976893,0.94155202,-2.15821691,
1028,W01001062,Baruc 4,Vale of Glamorgan,10.69115175,13.50971706,13.14865963,-2.81856531,0.361057426,-2.457507884,
1402,W01001440,Beaufort 1,Blaenau Gwent,25.52166952,26.08871331,27.62513694,-0.56704379,-1.536423629,-2.103467419,
1403,W01001441,Beaufort 2,Blaenau Gwent,40.86235841,49.2928063,50.58484549,-8.43044789,-1.292039193,-9.722487083,
1404,W01001442,Beaufort 3,Blaenau Gwent,10.03276267,12.90026663,14.7477786,-2.86750396,-1.847511968,-4.715015928,
5,W01000005,Beaumaris,Isle of Anglesey,15.9853179,13.22739142,16.30180214,2.75792648,-3.074410717,-0.316484237,
1122,W01001157,Beddau 1,Rhondda Cynon Taf,10.05062712,12.46130031,11.96796025,-2.41067319,0.49334006,-1.91733313,
1123,W01001158,Beddau 2,Rhondda Cynon Taf,23.95538593,24.02914958,22.70893145,-0.07376365,1.320218134,1.246454484,
1124,W01001159,Beddau 3,Rhondda Cynon Taf,4.608740967,6.391489846,7.061330579,-1.782748879,-0.669840733,-2.452589612,
1252,W01001289,Bedlinog 1,Merthyr Tydfil,28.8202337,31.22186537,31.84222474,-2.40163167,-0.620359367,-3.021991037,
1253,W01001290,Bedlinog 2,Merthyr Tydfil,25.44326771,31.45087562,35.52241593,-6.00760791,-4.071540311,-10.07914822,
1302,W01001340,Bedwas Trethomas and Machen 1,Caerphilly,6.654441993,5.720106962,8.567188198,0.934335031,-2.847081236,-1.912746205,
1303,W01001341,Bedwas Trethomas and Machen 2,Caerphilly,37.33634435,39.35855617,42.28096447,-2.02221182,-2.922408302,-4.944620122,
1304,W01001342,Bedwas Trethomas and Machen 3,Caerphilly,6.440361279,7.361199072,8.772206804,-0.920837793,-1.411007732,-2.331845525,
1305,W01001343,Bedwas Trethomas and Machen 4,Caerphilly,6.911153147,8.523986395,9.348393386,-1.612833248,-0.824406991,-2.437240239,
1306,W01001344,Bedwas Trethomas and Machen 5,Caerphilly,16.14973994,16.49869048,18.1942651,-0.34895054,-1.695574618,-2.044525158,
1307,W01001345,Bedwas Trethomas and Machen 6,Caerphilly,63.15022164,67.69959976,64.42376951,-4.54937812,3.275830253,-1.273547867,
1308,W01001346,Bedwas Trethomas and Machen 7,Caerphilly,20.23692386,18.90532501,16.31590879,1.33159885,2.589416225,3.921015075,
1570,W01001612,Beechwood 1,Newport,21.20913713,19.39157287,19.55517616,1.81756426,-0.163603293,1.653960967,
1571,W01001613,Beechwood 2,Newport,16.38800854,13.28102029,12.48486976,3.10698825,0.796150529,3.903138779,
1572,W01001614,Beechwood 3,Newport,41.16527542,37.9404169,35.30141847,3.22485852,2.638998429,5.863856949,
1573,W01001615,Beechwood 4,Newport,20.4409897,16.42131584,18.65625793,4.01967386,-2.234942094,1.784731766,
1574,W01001616,Beechwood 5,Newport,11.68599844,9.38491166,9.760044388,2.30108678,-0.375132728,1.925954052,
417,W01000427,Beguildy,Powys,20.1659968,19.35562763,15.35235421,0.81036917,4.003273421,4.813642591,
418,W01000428,Berriew,Powys,13.49730812,12.25003467,12.20713646,1.24727345,0.042898209,1.290171659,
50,W01000052,Bethel & Cwm-y-Glo 1,Gwynedd,7.46451947,8.479913874,7.954037125,-1.015394404,0.525876749,-0.489517655,
51,W01000053,Bethel & Cwm-y-Glo 2,Gwynedd,12.28034112,10.31427489,10.65473527,1.96606623,-0.340460382,1.625605848,
942,W01000975,Bettws (Bridgend),Bridgend,48.39585449,54.58481721,60.16475124,-6.18896272,-5.57993403,-11.76889675,
1575,W01001617,Bettws (Newport) 1,Newport,62.25261092,56.61267012,49.71913104,5.6399408,6.893539082,12.53347988,
1576,W01001618,Bettws (Newport) 2,Newport,42.6519469,41.53211123,42.96767032,1.11983567,-1.435559087,-0.315723417,
1577,W01001619,Bettws (Newport) 3,Newport,55.9099523,51.0885677,48.00229726,4.8213846,3.086270442,7.907655042,
1578,W01001620,Bettws (Newport) 4,Newport,37.61339138,38.17157487,38.68519146,-0.55818349,-0.513616592,-1.071800082,
1579,W01001621,Bettws (Newport) 5,Newport,46.08055891,47.19284573,38.11810841,-1.11228682,9.07473732,7.9624505,
1580,W01001622,Bettws (Newport) 6,Newport,24.30265796,24.40216233,25.196017,-0.09950437,-0.79385467,-0.89335904,
602,W01000627,Betws,Carmarthenshire,16.60572363,19.25587896,22.67765856,-2.65015533,-3.421779595,-6.071934925,
117,W01000122,Betws yn Rhos,Conwy,15.13934484,13.34577115,13.98378719,1.79357369,-0.63801604,1.15555765,
116,W01000121,Betws-y-Coed,Conwy,14.51299628,13.49860192,12.98571314,1.01439436,0.512888781,1.527283141,
498,W01000519,Beulah,Ceredigion,15.25724228,15.25980991,15.89104585,-0.00256763,-0.63123594,-0.63380357,
603,W01000628,Bigyn 1,Carmarthenshire,15.86215169,16.32293039,16.43708663,-0.4607787,-0.114156235,-0.574934935,
604,W01000629,Bigyn 2,Carmarthenshire,25.95352985,19.07492049,21.7026926,6.87860936,-2.627772107,4.250837253,
605,W01000630,Bigyn 3,Carmarthenshire,20.56796548,17.18857813,18.29662052,3.37938735,-1.108042391,2.271344959,
606,W01000631,Bigyn 4,Carmarthenshire,54.77699031,50.4768321,56.24874076,4.30015821,-5.771908658,-1.471750448,
708,W01000736,Bishopston 1,Swansea,1.701006048,3.715011914,4.911620765,-2.014005866,-1.196608851,-3.210614717,
709,W01000737,Bishopston 2,Swansea,3.554570054,6.649911343,10.77731312,-3.095341289,-4.127401779,-7.222743068,
943,W01000976,Blackmill 1,Bridgend,34.72129437,37.49201047,42.14523651,-2.7707161,-4.653226036,-7.423942136,
944,W01000977,Blackmill 2,Bridgend,33.01069617,46.23240113,42.53285854,-13.22170496,3.699542586,-9.522162374,
1309,W01001347,Blackwood 1,Caerphilly,16.95188504,17.7634912,14.8292863,-0.81160616,2.934204903,2.122598743,
1310,W01001348,Blackwood 2,Caerphilly,32.90425069,35.80523037,35.64959724,-2.90097968,0.155633135,-2.745346545,
1311,W01001349,Blackwood 3,Caerphilly,5.298662428,7.759674167,10.38486033,-2.461011739,-2.625186164,-5.086197903,
1312,W01001350,Blackwood 4,Caerphilly,18.0678752,19.592459,20.13248862,-1.5245838,-0.54002962,-2.06461342,
1313,W01001351,Blackwood 5,Caerphilly,6.098261851,6.428834295,9.062926554,-0.330572444,-2.634092259,-2.964664703,
419,W01000429,Blaen Hafren,Powys,12.8233619,11.52269428,13.21915059,1.30066762,-1.696456308,-0.395788688,
1449,W01001487,Blaenavon 1,Torfaen,24.74727733,22.64751474,19.54368846,2.09976259,3.103826282,5.203588872,
1450,W01001488,Blaenavon 2,Torfaen,39.55525223,43.27374427,46.80154315,-3.71849204,-3.52779888,-7.24629092,
1451,W01001489,Blaenavon 3,Torfaen,30.06047889,26.11860817,23.24406817,3.94187072,2.874540005,6.816410725,
1452,W01001490,Blaenavon 4,Torfaen,18.93278911,11.89604701,13.05094523,7.0367421,-1.15489822,5.88184388,
945,W01000978,Blaengarw,Bridgend,27.35544277,25.41005139,21.76239793,1.94539138,3.647653464,5.593044844,
861,W01000893,Blaengwrach,Neath Port Talbot,26.52732224,25.03895114,23.93576874,1.4883711,1.103182405,2.591553505,
1405,W01001443,Blaina 1,Blaenau Gwent,36.94131662,36.86786247,36.45453693,0.07345415,0.413325544,0.486779694,
1406,W01001444,Blaina 2,Blaenau Gwent,28.48664755,29.20923621,31.31808791,-0.72258866,-2.108851699,-2.831440359,
1407,W01001445,Blaina 3,Blaenau Gwent,22.48421995,25.32867116,30.11879239,-2.84445121,-4.790121228,-7.634572438,
184,W01000191,Bodelwyddan,Denbighshire,17.04495377,18.39433354,17.85260813,-1.34937977,0.541725407,-0.807654363,
6,W01000006,Bodffordd,Isle of Anglesey,15.22183718,17.83416214,18.16592216,-2.61232496,-0.331760019,-2.944084979,
7,W01000007,Bodorgan,Isle of Anglesey,16.44176263,17.11882575,19.16513063,-0.67706312,-2.046304881,-2.723368001,
52,W01000054,Bontnewydd,Gwynedd,11.13162501,9.670819621,10.43184084,1.460805389,-0.761021217,0.699784172,
710,W01000738,Bonymaen 1,Swansea,55.43685514,53.01115345,58.90174962,2.42570169,-5.890596167,-3.464894477,
711,W01000739,Bonymaen 2,Swansea,30.07783458,35.34400621,40.14705307,-5.26617163,-4.80304686,-10.06921849,
712,W01000740,Bonymaen 3,Swansea,14.60315486,19.74365884,17.97992108,-5.14050398,1.763737757,-3.376766223,
713,W01000741,Bonymaen 4,Swansea,34.34355964,33.10175342,31.51820814,1.24180622,1.583545285,2.825351505,
336,W01000343,Borras Park 1,Wrexham,2.248525238,1.786016209,3.886379644,0.462509029,-2.100363435,-1.637854406,
337,W01000344,Borras Park 2,Wrexham,4.183776876,4.000168198,6.650711184,0.183608678,-2.650542986,-2.466934308,
53,W01000056,Bowydd and Rhiw,Gwynedd,26.55426581,24.54125491,24.80256378,2.0130109,-0.26130887,1.75170203,
946,W01000979,Brackla 1,Bridgend,12.01816016,15.3458994,13.15583799,-3.32773924,2.190061406,-1.137677834,
947,W01000980,Brackla 2,Bridgend,18.2905175,23.73673553,24.52104047,-5.44621803,-0.784304944,-6.230522974,
948,W01000981,Brackla 3,Bridgend,59.71386395,51.12417852,52.63097,8.58968543,-1.506791476,7.082893954,
949,W01000982,Brackla 4,Bridgend,12.52854822,12.49549485,10.40422543,0.03305337,2.091269423,2.124322793,
950,W01000983,Brackla 5,Bridgend,6.87889211,8.698956273,10.29865433,-1.820064163,-1.599698056,-3.419762219,
951,W01000984,Brackla 6,Bridgend,9.184259031,12.8903172,11.95641766,-3.706058169,0.933899538,-2.772158631,
952,W01000985,Brackla 7,Bridgend,4.034439,3.877319003,5.456187899,0.157119997,-1.578868896,-1.421748899,
8,W01000008,Braint,Isle of Anglesey,3.654083396,4.620341402,5.012094311,-0.966258006,-0.391752909,-1.358010915,
54,W01000057,Brithdir and Llanfachreth/Ganllwyd/Llanelltyd,Gwynedd,19.09559702,13.48087406,11.192456,5.61472296,2.28841806,7.90314102,
862,W01000894,Briton Ferry East 1,Neath Port Talbot,22.7728112,18.97892161,16.66965374,3.79388959,2.309267869,6.103157459,
863,W01000895,Briton Ferry East 2,Neath Port Talbot,40.91946756,35.91284345,34.6669922,5.00662411,1.245851255,6.252475365,
864,W01000896,Briton Ferry West 1,Neath Port Talbot,67.33073801,50.66455052,51.7056467,16.66618749,-1.041096182,15.62509131,
865,W01000897,Briton Ferry West 2,Neath Port Talbot,38.73430832,27.88768682,24.14227106,10.8466215,3.745415759,14.59203726,
338,W01000345,Bronington 1,Wrexham,10.30197348,9.838528583,9.343553167,0.463444897,0.494975417,0.958420314,
339,W01000346,Bronington 2,Wrexham,12.72404392,8.622587263,10.29891329,4.101456657,-1.676326026,2.425130631,
420,W01000430,Bronllys,Powys,12.28134896,12.92294352,11.64705852,-0.64159456,1.275884999,0.634290439,
248,W01000255,Broughton North East,Flintshire,9.689844925,11.95196936,10.94995976,-2.262124435,1.002009605,-1.26011483,
249,W01000256,Broughton South 1,Flintshire,10.09245593,13.34568265,15.17388121,-3.25322672,-1.828198556,-5.081425276,
250,W01000257,Broughton South 2,Flintshire,3.412605576,5.583198081,7.36953075,-2.170592505,-1.786332669,-3.956925174,
340,W01000347,Brymbo 1,Wrexham,9.111039158,11.10128703,17.23349894,-1.990247872,-6.132211906,-8.122459778,
341,W01000348,Brymbo 2,Wrexham,27.31881617,25.64238836,32.35613821,1.67642781,-6.713749848,-5.037322038,
118,W01000123,Bryn,Conwy,18.92050639,17.20767108,16.66863015,1.71283531,0.539040932,2.251876242,
866,W01000898,Bryn and Cwmavon 1,Neath Port Talbot,18.82809937,18.3316381,20.04166532,0.49646127,-1.710027222,-1.213565952,
867,W01000899,Bryn and Cwmavon 2,Neath Port Talbot,8.153474601,8.049150888,10.08318507,0.104323713,-2.034034181,-1.929710468,
868,W01000900,Bryn and Cwmavon 3,Neath Port Talbot,40.14085689,36.83220901,41.41257672,3.30864788,-4.580367707,-1.271719827,
869,W01000901,Bryn and Cwmavon 4,Neath Port Talbot,24.68106859,23.52369707,26.95345289,1.15737152,-3.429755816,-2.272384296,
344,W01000351,Bryn Cefn,Wrexham,16.22460214,16.31484144,18.62381961,-0.0902393,-2.308978167,-2.399217467,
870,W01000902,Bryn-coch North 1,Neath Port Talbot,11.74128646,10.31674121,10.98315862,1.42454525,-0.666417411,0.758127839,
871,W01000903,Bryn-coch North 2,Neath Port Talbot,4.310179236,4.937029281,5.727866735,-0.626850045,-0.790837454,-1.417687499,
872,W01000904,Bryn-coch South 1,Neath Port Talbot,2.954584907,2.626490546,4.72772611,0.328094361,-2.101235564,-1.773141203,
873,W01000905,Bryn-coch South 2,Neath Port Talbot,11.98378169,11.03343141,14.29177581,0.95035028,-3.258344402,-2.307994122,
874,W01000906,Bryn-coch South 3,Neath Port Talbot,9.739693493,7.682180773,10.50861415,2.05751272,-2.82643338,-0.76892066,
875,W01000907,Bryn-coch South 4,Neath Port Talbot,30.56960874,28.31357276,28.19009671,2.25603598,0.123476051,2.379512031,
953,W01000986,Bryncethin,Bridgend,14.92728069,15.88402209,15.74961797,-0.9567414,0.134404117,-0.822337283,
954,W01000987,Bryncoch,Bridgend,25.96181343,31.95514538,34.52114401,-5.99333195,-2.565998629,-8.559330579,
251,W01000258,Brynford,Flintshire,11.4570923,11.19888065,10.56041011,0.25821165,0.638470538,0.896682188,
9,W01000009,Bryngwran,Isle of Anglesey,20.42061414,21.63534575,28.98533661,-1.21473161,-7.34999086,-8.56472247,
